tripID,vehicle_id,blockID,direction,garage,messageCode,routeNumber
7126389,115,9040,0,ELMO,927,90
7126389,201,9040,0,ELMO,927,90
7126389,209,9040,0,ELMO,927,90
7126389,242,9040,0,ELMO,927,90
7126390,222,9041,0,ELMO,927,90
7126390,325,9041,0,ELMO,927,90
7126391,307,9042,0,ELMO,927,90
7126391,302,9042,0,ELMO,927,90
7126392,327,9043,0,ELMO,927,90
7126392,207,9043,0,ELMO,927,90
7126393,309,9044,0,ELMO,927,90
7126393,245,9044,0,ELMO,927,90
7126394,202,9045,0,ELMO,927,90
7126394,215,9045,0,ELMO,927,90
7126395,217,9046,0,ELMO,927,90
7126395,227,9046,0,ELMO,927,90
7126396,242,9040,0,ELMO,927,90
7126396,209,9040,0,ELMO,927,90
7126397,210,9047,0,ELMO,927,90
7126397,116,9047,0,ELMO,927,90
7126398,325,9041,0,ELMO,927,90
7126398,222,9041,0,ELMO,927,90
7126399,307,9042,0,ELMO,927,90
7126399,302,9042,0,ELMO,927,90
7126400,106,9048,0,ELMO,927,90
7126400,306,9048,0,ELMO,927,90
7126401,245,9044,0,ELMO,927,90
7126401,309,9044,0,ELMO,927,90
7126402,202,9045,0,ELMO,927,90
7126402,215,9045,0,ELMO,927,90
7126403,249,9050,0,ELMO,927,90
7126403,235,9050,0,ELMO,927,90
7126404,327,9043,0,ELMO,927,90
7126404,207,9043,0,ELMO,927,90
7126405,209,9040,0,ELMO,927,90
7126405,242,9040,0,ELMO,927,90
7126406,210,9047,0,ELMO,927,90
7126406,116,9047,0,ELMO,927,90
7126407,222,9041,0,ELMO,927,90
7126407,325,9041,0,ELMO,927,90
7126408,302,9042,0,ELMO,927,90
7126408,307,9042,0,ELMO,927,90
7126409,106,9048,0,ELMO,927,90
7126409,306,9048,0,ELMO,927,90
7126410,245,9044,0,ELMO,927,90
7126410,309,9044,0,ELMO,927,90
7126411,215,9045,0,ELMO,927,90
7126411,202,9045,0,ELMO,927,90
7126412,235,9050,0,ELMO,927,90
7126412,249,9050,0,ELMO,927,90
7126413,327,9043,0,ELMO,927,90
7126413,207,9043,0,ELMO,927,90
7126414,209,9040,0,ELMO,927,90
7126414,242,9040,0,ELMO,927,90
7126415,210,9047,0,ELMO,927,90
7126415,116,9047,0,ELMO,927,90
7126416,325,9041,0,ELMO,927,90
7126416,222,9041,0,ELMO,927,90
7126417,302,9042,0,ELMO,927,90
